transaction_id,store_id,department,brand,channel,upc,sku,product_name,quantity,units_sold,units_received,revenue,cost,margin,price,discount,return_flag,exchange_flag,transaction_date,sell_through_flag,premium_flag,transaction_flag
TXN-03-02625,STORE-015,Electronics,BrandD,Online,UPC-293747730,SKU-ELE-1302,Headphones,9,9,3,2373.39,998.74,1374.65,289.19,25.48,0,0,2025-12-04 22:00:00,1,0,1
TXN-03-06065,STORE-006,Apparel,BrandD,In-Store,UPC-463556545,SKU-APP-3405,Jacket,5,5,2,482.75,211.52,271.23,122.92,26.37,0,0,2025-12-03 01:00:00,1,0,1
TXN-03-01305,STORE-009,Electronics,BrandF,Online,UPC-474422379,SKU-ELE-7101,Charger,5,5,0,524.75,382.38,142.37,133.18,28.23,0,0,2025-12-07 14:00:00,1,0,1
TXN-03-03809,STORE-003,Electronics,BrandH,Online,UPC-465416869,SKU-ELE-7537,Headphones,2,2,2,289.2,127.76,161.44,146.7,2.1,1,0,2025-12-27 05:00:00,1,1,1
TXN-03-01537,STORE-008,Home & Garden,BrandD,Online,UPC-924089431,SKU-HOM-1868,Hose,4,4,2,297.8,151.4,146.4,100.83,26.38,0,0,2025-12-17 15:00:00,1,1,1
TXN-03-00090,STORE-009,Grocery,BrandB,In-Store,UPC-417181556,SKU-GRO-1641,Bread,6,6,1,1671.36,1118.64,552.72,344.94,66.38,0,0,2025-12-27 19:00:00,1,0,1
TXN-03-02474,STORE-016,Sports,BrandD,In-Store,UPC-822316119,SKU-SPO-1500,Dumbbell,4,4,2,1094.04,498.07,595.97,289.92,16.41,0,0,2025-12-24 16:00:00,1,0,1
TXN-03-05146,STORE-017,Electronics,BrandG,Online,UPC-668246741,SKU-ELE-6408,Tablet,5,5,2,1520.4,609.87,910.53,373.02,68.94,0,0,2025-12-27 15:00:00,1,0,1
TXN-03-03164,STORE-004,Grocery,BrandB,Online,UPC-176967931,SKU-GRO-7554,Snack Bar,5,5,2,2250.6,1625.21,625.39,493.77,43.65,0,0,2025-12-19 14:00:00,1,0,1
TXN-03-01431,STORE-007,Apparel,BrandD,In-Store,UPC-717048231,SKU-APP-5512,Hat,3,3,2,576.18,402.73,173.45,228.87,36.81,0,0,2025-12-07 03:00:00,1,0,1
TXN-03-00179,STORE-005,Electronics,BrandD,In-Store,UPC-275339150,SKU-ELE-7397,Camera,9,9,0,2001.87,911.89,1089.98,257.01,34.58,0,0,2025-12-27 22:00:00,1,0,1
TXN-03-00682,STORE-018,Electronics,BrandA,Online,UPC-240848191,SKU-ELE-7970,Phone,5,5,3,1437.0,584.45,852.55,381.38,93.98,0,0,2025-12-25 04:00:00,1,0,1
TXN-03-01117,STORE-002,Home & Garden,BrandH,In-Store,UPC-669821949,SKU-HOM-9780,Rug,8,8,1,769.28,353.76,415.52,102.59,6.43,0,0,2025-12-23 06:00:00,0,0,1
TXN-03-04276,STORE-018,Apparel,BrandE,In-Store,UPC-295792584,SKU-APP-9668,Socks,6,6,1,2350.92,1142.5,1208.42,472.49,80.67,0,0,2025-12-23 15:00:00,1,1,1
TXN-03-04390,STORE-008,Grocery,BrandH,Online,UPC-712164053,SKU-GRO-1439,Snack Bar,6,6,0,1275.42,572.4,703.02,231.97,19.4,0,0,2025-12-19 15:00:00,1,0,1
TXN-03-01145,STORE-003,Apparel,BrandH,In-Store,UPC-152258530,SKU-APP-1233,Scarf,3,3,1,1153.35,547.53,605.82,396.17,11.72,0,0,2025-12-24 02:00:00,1,0,1
TXN-03-06256,STORE-018,Sports,BrandC,In-Store,UPC-324303090,SKU-SPO-5411,Resistance Band,7,7,1,609.0,309.5,299.5,105.4,18.4,0,0,2025-12-02 03:00:00,0,0,1
TXN-03-04781,STORE-013,Home & Garden,BrandH,Mobile,UPC-220732238,SKU-HOM-4280,Vase,9,9,2,1028.16,505.11,523.05,133.04,18.8,1,0,2025-12-15 14:00:00,1,0,1
TXN-03-01847,STORE-003,Grocery,BrandG,Online,UPC-758050341,SKU-GRO-6325,Coffee,7,7,1,2649.57,1619.85,1029.72,483.11,104.6,0,0,2025-12-17 07:00:00,0,0,1
TXN-03-01313,STORE-005,Electronics,BrandC,In-Store,UPC-184410654,SKU-ELE-9794,Monitor,1,1,0,201.45,83.53,117.92,280.76,79.31,0,0,2025-12-08 08:00:00,1,0,1
TXN-03-02924,STORE-018,Home & Garden,BrandD,In-Store,UPC-407810321,SKU-HOM-2525,Plant Pot,8,8,1,732.24,407.78,324.46,124.21,32.68,0,0,2025-12-17 20:00:00,1,0,1
TXN-03-06108,STORE-009,Electronics,BrandB,In-Store,UPC-491269317,SKU-ELE-3358,Laptop,9,9,4,1899.45,802.65,1096.8,293.63,82.58,0,0,2025-12-03 00:00:00,1,1,1
TXN-03-03764,STORE-014,Electronics,BrandC,In-Store,UPC-343456621,SKU-ELE-2566,Headphones,9,9,0,2722.68,1872.26,850.42,350.88,48.36,0,0,2025-12-26 03:00:00,0,1,1
TXN-03-03778,STORE-017,Home & Garden,BrandF,Online,UPC-861464138,SKU-HOM-5318,Hose,4,4,4,1607.24,819.7,787.54,424.48,22.67,0,0,2025-12-26 16:00:00,0,0,1
TXN-03-04502,STORE-018,Electronics,BrandD,Mobile,UPC-677919574,SKU-ELE-6799,Laptop,2,2,0,635.42,255.54,379.88,373.39,55.68,1,0,2025-12-11 00:00:00,1,1,1
TXN-03-06053,STORE-012,Home & Garden,BrandE,Mobile,UPC-829409802,SKU-HOM-1953,Plant Pot,1,1,2,28.89,17.05,11.84,38.13,9.24,0,0,2025-12-24 08:00:00,1,0,1
TXN-03-05870,STORE-002,Electronics,BrandH,Online,UPC-159416728,SKU-ELE-3838,Phone,1,1,3,359.15,234.37,124.78,471.21,112.06,0,0,2025-12-06 20:00:00,1,1,1
TXN-03-03951,STORE-015,Grocery,BrandF,Mobile,UPC-276421921,SKU-GRO-7043,Juice,7,7,3,600.04,391.3,208.74,87.79,2.07,0,0,2025-12-10 05:00:00,1,0,1
TXN-03-00302,STORE-019,Apparel,BrandB,In-Store,UPC-148180478,SKU-APP-6189,Jeans,9,9,1,3337.74,1930.33,1407.41,468.79,97.93,0,0,2025-12-13 23:00:00,1,0,1
TXN-03-01914,STORE-003,Apparel,BrandC,In-Store,UPC-962485576,SKU-APP-6182,Scarf,8,8,4,2645.2,1214.74,1430.46,332.99,2.34,1,0,2025-12-14 08:00:00,1,0,1
TXN-03-06109,STORE-005,Grocery,BrandD,Online,UPC-165074604,SKU-GRO-8499,Bread,3,3,0,871.41,349.29,522.12,297.75,7.28,0,0,2025-12-06 08:00:00,0,0,1
TXN-03-02695,STORE-018,Home & Garden,BrandG,In-Store,UPC-306638691,SKU-HOM-9546,Lamp,4,4,2,48.8,28.58,20.22,17.3,5.1,0,0,2025-12-23 14:00:00,1,1,1
TXN-03-01462,STORE-017,Home & Garden,BrandA,Online,UPC-786680651,SKU-HOM-4995,Chair,7,7,3,832.09,506.57,325.52,162.09,43.22,0,0,2025-12-17 13:00:00,1,1,1
TXN-03-03829,STORE-015,Grocery,BrandB,In-Store,UPC-813613935,SKU-GRO-3741,Coffee,5,5,1,1344.7,917.89,426.81,354.23,85.29,0,0,2025-12-19 00:00:00,1,0,1
TXN-03-02164,STORE-018,Apparel,BrandA,In-Store,UPC-841198931,SKU-APP-4245,Dress,2,2,3,423.66,227.39,196.27,282.61,70.78,1,1,2025-12-07 20:00:00,1,0,1
TXN-03-06103,STORE-009,Sports,BrandC,Online,UPC-220603153,SKU-SPO-3796,Yoga Mat,8,8,2,1922.4,1413.29,509.11,313.42,73.12,1,0,2025-12-06 20:00:00,1,0,1
TXN-03-04293,STORE-009,Electronics,BrandA,Mobile,UPC-201538457,SKU-ELE-4508,Tablet,5,5,3,1667.75,883.82,783.93,359.78,26.23,0,0,2025-12-01 04:00:00,1,0,1
TXN-03-05510,STORE-016,Electronics,BrandA,Online,UPC-381579535,SKU-ELE-7630,Monitor,3,3,2,295.02,182.79,112.23,132.71,34.37,0,0,2025-12-07 22:00:00,0,1,1
TXN-03-06073,STORE-013,Apparel,BrandA,In-Store,UPC-167016098,SKU-APP-9932,Jeans,8,8,0,3072.72,1617.57,1455.15,494.48,110.39,1,0,2025-12-02 08:00:00,0,0,1
TXN-03-00299,STORE-001,Apparel,BrandB,Online,UPC-502161250,SKU-APP-2712,Socks,7,7,2,1811.46,1133.65,677.81,274.15,15.37,0,0,2025-12-08 23:00:00,1,1,1
TXN-03-05333,STORE-016,Grocery,BrandA,In-Store,UPC-809573043,SKU-GRO-1303,Coffee,8,8,1,1181.6,563.24,618.36,185.35,37.65,0,0,2025-12-28 08:00:00,0,1,1
TXN-03-05111,STORE-015,Sports,BrandE,Mobile,UPC-747029567,SKU-SPO-1396,Running Shoes,4,4,3,1477.36,989.16,488.2,460.91,91.57,0,0,2025-12-24 12:00:00,1,1,1
TXN-03-02250,STORE-013,Sports,BrandB,In-Store,UPC-657653982,SKU-SPO-9074,Water Bottle,1,1,2,252.85,189.48,63.37,339.75,86.9,0,0,2025-12-01 14:00:00,1,0,1
TXN-03-05639,STORE-019,Grocery,BrandE,In-Store,UPC-418016102,SKU-GRO-3413,Pasta,6,6,0,2025.42,1281.5,743.92,457.85,120.28,0,0,2025-12-28 07:00:00,1,1,1
TXN-03-03479,STORE-007,Apparel,BrandF,Online,UPC-187257616,SKU-APP-9423,Hat,9,9,0,2286.45,1013.08,1273.37,290.74,36.69,0,0,2025-12-18 09:00:00,1,1,1
TXN-03-01058,STORE-017,Sports,BrandF,In-Store,UPC-163964577,SKU-SPO-2195,Jersey,8,8,1,3046.72,1890.86,1155.86,436.62,55.78,0,0,2025-12-16 16:00:00,0,0,1
TXN-03-01986,STORE-001,Apparel,BrandE,Online,UPC-510757834,SKU-APP-2009,Scarf,1,1,3,75.95,51.41,24.54,83.6,7.65,0,0,2025-12-21 10:00:00,1,1,1
TXN-03-02212,STORE-002,Sports,BrandE,In-Store,UPC-548700258,SKU-SPO-8281,Yoga Mat,3,3,4,854.16,460.9,393.26,320.89,36.17,0,0,2025-12-11 21:00:00,1,0,1
TXN-03-04772,STORE-004,Home & Garden,BrandC,Online,UPC-422995258,SKU-HOM-9593,Hose,3,3,2,1184.25,614.94,569.31,404.46,9.71,0,0,2025-12-11 19:00:00,0,1,1
TXN-03-03001,STORE-006,Electronics,BrandE,In-Store,UPC-425663130,SKU-ELE-9233,Monitor,6,6,4,2037.18,941.03,1096.15,442.69,103.16,0,0,2025-12-05 17:00:00,1,0,1
TXN-03-05222,STORE-019,Sports,BrandD,Mobile,UPC-300119904,SKU-SPO-1998,Yoga Mat,8,8,4,1237.52,668.62,568.9,158.57,3.88,0,0,2025-12-11 03:00:00,1,1,1
TXN-03-03992,STORE-005,Home & Garden,BrandE,Mobile,UPC-511247730,SKU-HOM-9523,Chair,9,9,1,698.22,282.48,415.74,108.33,30.75,0,0,2025-12-15 21:00:00,0,0,1
TXN-03-04672,STORE-002,Electronics,BrandA,Mobile,UPC-179487813,SKU-ELE-6669,Monitor,3,3,3,740.94,398.94,342.0,341.55,94.57,0,0,2025-12-18 12:00:00,1,0,1
TXN-03-04939,STORE-002,Electronics,BrandC,In-Store,UPC-986546951,SKU-ELE-8057,Monitor,6,6,3,1723.26,946.11,777.15,380.83,93.62,1,0,2025-12-23 06:00:00,1,0,1
TXN-03-03231,STORE-013,Electronics,BrandC,In-Store,UPC-157685505,SKU-ELE-3323,Headphones,8,8,2,2300.48,1508.41,792.07,329.34,41.78,0,0,2025-12-02 18:00:00,0,1,1
TXN-03-00776,STORE-001,Grocery,BrandA,In-Store,UPC-310333925,SKU-GRO-6214,Milk,5,5,0,1004.5,657.06,347.44,216.43,15.53,0,0,2025-12-16 05:00:00,0,0,1
TXN-03-01730,STORE-011,Apparel,BrandD,Online,UPC-360840503,SKU-APP-9234,T-Shirt,6,6,3,270.24,166.09,104.15,45.21,0.17,0,0,2025-12-11 23:00:00,1,1,1
TXN-03-05494,STORE-019,Electronics,BrandA,Online,UPC-794571388,SKU-ELE-9367,Monitor,8,8,1,76.48,40.5,35.98,11.72,2.16,0,0,2025-12-01 18:00:00,1,0,1
TXN-03-03720,STORE-018,Home & Garden,BrandF,In-Store,UPC-994009965,SKU-HOM-3373,Cushion,9,9,4,845.64,583.93,261.71,100.63,6.67,0,0,2025-12-21 02:00:00,1,0,1
TXN-03-00578,STORE-015,Apparel,BrandF,In-Store,UPC-503350826,SKU-APP-7270,Socks,5,5,0,603.85,242.54,361.31,149.28,28.51,0,0,2025-12-18 21:00:00,1,0,1
TXN-03-00977,STORE-017,Sports,BrandE,Online,UPC-979166400,SKU-SPO-5311,Cap,4,4,0,1194.84,645.76,549.08,325.85,27.14,0,0,2025-12-13 06:00:00,0,0,1
TXN-03-05727,STORE-014,Electronics,BrandD,Online,UPC-305738488,SKU-ELE-4407,Tablet,9,9,3,2756.97,1422.82,1334.15,364.76,58.43,0,0,2025-12-30 14:00:00,1,0,1
TXN-03-06023,STORE-013,Home & Garden,BrandH,In-Store,UPC-634663609,SKU-HOM-9959,Hose,1,1,1,213.65,98.75,114.9,245.6,31.95,0,0,2025-12-08 01:00:00,0,0,1
TXN-03-04589,STORE-003,Sports,BrandE,Online,UPC-541425364,SKU-SPO-6859,Water Bottle,6,6,1,1239.48,745.69,493.79,294.28,87.7,0,0,2025-12-29 03:00:00,0,0,1
TXN-03-03134,STORE-017,Sports,BrandE,In-Store,UPC-257572426,SKU-SPO-5140,Jersey,2,2,2,330.96,240.82,90.14,167.99,2.51,0,0,2025-12-19 19:00:00,1,1,1
